product,dimension,original_value,cleaned_value,reason
sugar-snaps-throw-jacket#Black,waist,1181cm,,OUT_OF_RANGE_50.0_180.0
sugar-snaps-throw-jacket#Duckegg,waist,1181cm,,OUT_OF_RANGE_50.0_180.0
sugar-snaps-throw-jacket#White,waist,1181cm,,OUT_OF_RANGE_50.0_180.0
summer-whispers-kimono-1#Peacock,bust,181cm,,OUT_OF_RANGE_50.0_180.0
summer-whispers-kimono-1#Peacock,waist,181cm,,OUT_OF_RANGE_50.0_180.0
summer-whispers-kimono-1#Peacock,hip,189cm,,OUT_OF_RANGE_50.0_180.0
summer-whispers-kimono-1#Peacock,bust,191cm,,OUT_OF_RANGE_50.0_180.0
summer-whispers-kimono-1#Peacock,waist,191cm,,OUT_OF_RANGE_50.0_180.0
summer-whispers-kimono-1#Peacock,hip,199cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,183cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,186cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,188cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,191cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,193cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,196cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,198cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#GreyMarle,hip,201cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,183cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,186cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,188cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,191cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,193cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,196cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,198cm,,OUT_OF_RANGE_50.0_180.0
sunshine-in-me-tee-1#White,hip,201cm,,OUT_OF_RANGE_50.0_180.0
swiss-spot-knit#TanWhite,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
tab-sleeve-longline-shirt#Navy,hip,185cm,,OUT_OF_RANGE_50.0_180.0
tab-sleeve-longline-shirt#Pink,hip,185cm,,OUT_OF_RANGE_50.0_180.0
tab-sleeve-longline-shirt#Silver,hip,185cm,,OUT_OF_RANGE_50.0_180.0
talbot-embroiderd-top#Talbot,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
the-asymmetrical-tank-top#HotPink,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#HotPink,sleeve,14cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
the-asymmetrical-tank-top#Indigo,sleeve,14cm,,OUT_OF_RANGE_20.0_140.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Black,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#FrenchBlue,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Sea,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-batwing-tee#Stone,bust,205cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,bust,39cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,waist,36cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,hip,44cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,bust,42cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,waist,38cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,hip,47cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,bust,44cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,waist,41cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,hip,49cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,bust,47cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,waist,43cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,bust,49cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,waist,46cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Black,waist,48cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,bust,39cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,waist,36cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,hip,44cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,bust,42cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,waist,38cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,hip,47cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,bust,44cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,waist,41cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,hip,49cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,bust,47cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,waist,43cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,bust,49cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,waist,46cm,,OUT_OF_RANGE_50.0_180.0
the-boat-neck-top#Navy,waist,48cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,182cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,187cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,192cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,197cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,202cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,207cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,212cm,,OUT_OF_RANGE_50.0_180.0
the-button-up-swing-tunic#Wine,hip,217cm,,OUT_OF_RANGE_50.0_180.0
the-cross-over-blouse#Black,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#Blue,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#Mint,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#Red,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#RoyalBlue,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#Silver,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#Sunshine,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-blouse#White,length,14cm,,OUT_OF_RANGE_30.0_150.0
the-cross-over-poncho#Grey,hip,15cm,,OUT_OF_RANGE_50.0_180.0
the-cross-over-poncho#Navy,hip,15cm,,OUT_OF_RANGE_50.0_180.0
the-daily-cross-over-top#PinkPrint,length,6cm,,OUT_OF_RANGE_30.0_150.0
the-daily-cross-over-top#SkyBlue,length,6cm,,OUT_OF_RANGE_30.0_150.0
the-design-fold-tunic-top#PearlBlue,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
the-design-fold-tunic-top#PearlBlue,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-design-fold-tunic-top#PearlBlue,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-design-fold-tunic-top#PearlBlue,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-design-fold-tunic-top#PearlBlue,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-design-fold-tunic-top#PearlBlue,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-french-cuff-shirt#White,length,678cm,,OUT_OF_RANGE_30.0_150.0
the-half-sleeve-tee#Black,bust,201cm,,OUT_OF_RANGE_50.0_180.0
the-half-sleeve-tee#White,bust,201cm,,OUT_OF_RANGE_50.0_180.0
the-longline-waterfall-cardi#Black,waist,5cm,,OUT_OF_RANGE_50.0_180.0
the-longline-waterfall-cardi#Black,waist,10cm,,OUT_OF_RANGE_50.0_180.0
the-longline-waterfall-cardi#Black,waist,15cm,,OUT_OF_RANGE_50.0_180.0
the-longline-waterfall-cardi#Black,bust,184cm,,OUT_OF_RANGE_50.0_180.0
the-longline-waterfall-cardi#Black,waist,20cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#GreyMarle,bust,186cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#GreyMarle,bust,192cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#GreyMarle,bust,198cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#GreyMarle,bust,204cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#Ink,bust,186cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#Ink,bust,192cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#Ink,bust,198cm,,OUT_OF_RANGE_50.0_180.0
the-oversize-knit#Ink,bust,204cm,,OUT_OF_RANGE_50.0_180.0
the-pocket-tee#GreyStripe,sleeve,19cm,,OUT_OF_RANGE_20.0_140.0
the-pocket-tee#NavyStripe,sleeve,19cm,,OUT_OF_RANGE_20.0_140.0
the-print-contrast-34-sleeve-top#Animal,sleeve,554cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-printed-v-split-top#Natural,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-ribbon-jersey-tank#Stripe,,,,EMPTY_FILE
the-roll-neck-sleeveless-top-1#Black,sleeve,4cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,5cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-roll-neck-sleeveless-top-1#Black,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#Black,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#Chambray,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#Cobalt,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#Mint,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#Salmon,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#Sunshine,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-sleeveless-cross-over-blouse#White,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-stripe-pocket-tank#Stripe,sleeve,16cm,,OUT_OF_RANGE_20.0_140.0
the-stripe-tank-1#Hazelnut,hip,185cm,,OUT_OF_RANGE_50.0_180.0
the-stripe-tank-1#Hazelnut,hip,190cm,,OUT_OF_RANGE_50.0_180.0
the-swing-tank-top#Rose,sleeve,4cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,5cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tank-top#Rose,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
the-swing-tee-5#Green,,,,EMPTY_FILE
the-tie-front-tank#Navy,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#Navy,sleeve,14cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
the-tie-front-tank#White,sleeve,14cm,,OUT_OF_RANGE_20.0_140.0
tilila-top#Stripe,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
tillfallig-piped-sweatshirt#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
timberland-cardi-1#Bark,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
timberland-cardi-1#Charcoal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
tina-singlet#Black,,,,EMPTY_FILE
tina-singlet#White,,,,EMPTY_FILE
to-the-beat-of-the-drum-kimono#Leaf,length,13cm,,OUT_OF_RANGE_30.0_150.0
tori-long-sleeve-top#Vanilla,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
trindad-top#Lantana,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
trinity-tee#White,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
tuck-layer-shirt#White,hip,206cm,,OUT_OF_RANGE_50.0_180.0
tuck-stripe-pullover#LtMarCom,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
turn-around-tunic#Black,,,,EMPTY_FILE
turn-around-tunic#Navy,,,,EMPTY_FILE
tystnad-blouse#YellowPtl,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
ulla-top#Graphite,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
ulverstone-sweater#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
ulverstone-sweater#GreyMarle,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
ulverstone-sweater#White,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
viola-kimono-radiant-floral#Grey,bust,212cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,208cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,220cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,224cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,228cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,232cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,236cm,,OUT_OF_RANGE_50.0_180.0
viola-kimono-radiant-floral#Grey,bust,240cm,,OUT_OF_RANGE_50.0_180.0
